Year,County,Adult obesity
1/1/2015,Appling County,0.347
1/1/2014,Atkinson County,0.308
1/1/2015,Atkinson County,0.342
1/1/2014,Bacon County,0.308
1/1/2015,Bacon County,0.318
1/1/2014,Baker County,0.326
1/1/2015,Baker County,0.319
1/1/2014,Baldwin County,0.32
1/1/2015,Baldwin County,0.318
1/1/2014,Banks County,0.282
1/1/2015,Banks County,0.281
1/1/2014,Barrow County,0.322
1/1/2015,Barrow County,0.329
1/1/2014,Bartow County,0.294
1/1/2015,Bartow County,0.316
1/1/2014,Ben Hill County,0.334
1/1/2015,Ben Hill County,0.35
1/1/2014,Berrien County,0.301
1/1/2015,Berrien County,0.324
1/1/2014,Bibb County,0.303
1/1/2015,Bibb County,0.286
1/1/2014,Bleckley County,0.301
1/1/2015,Bleckley County,0.315
1/1/2014,Brantley County,0.31
1/1/2015,Brantley County,0.318
1/1/2014,Brooks County,0.333
1/1/2015,Brooks County,0.351
1/1/2014,Bryan County,0.283
1/1/2015,Bryan County,0.27
1/1/2014,Bulloch County,0.33
1/1/2015,Bulloch County,0.325
1/1/2014,Burke County,0.359
1/1/2015,Burke County,0.326
1/1/2014,Butts County,0.336
1/1/2015,Butts County,0.325
1/1/2014,Calhoun County,0.317
1/1/2015,Calhoun County,0.331
1/1/2014,Camden County,0.286
1/1/2015,Camden County,0.315
1/1/2014,Candler County,0.32
1/1/2015,Candler County,0.326
1/1/2014,Carroll County,0.314
1/1/2015,Carroll County,0.306
1/1/2014,Catoosa County,0.31
1/1/2015,Catoosa County,0.302
1/1/2014,Charlton County,0.315
1/1/2015,Charlton County,0.322
1/1/2014,Chatham County,0.268
1/1/2015,Chatham County,0.279
1/1/2014,Chattahoochee County,0.305
1/1/2015,Chattahoochee County,0.307
1/1/2014,Chattooga County,0.328
1/1/2015,Chattooga County,0.346
1/1/2014,Cherokee County,0.279
1/1/2015,Cherokee County,0.262
1/1/2014,Clarke County,0.267
1/1/2015,Clarke County,0.265
1/1/2014,Clay County,0.336
1/1/2015,Clay County,0.327
1/1/2014,Clayton County,0.361
1/1/2015,Clayton County,0.375
1/1/2014,Clinch County,0.327
1/1/2015,Clinch County,0.323
1/1/2014,Cobb County,0.234
1/1/2015,Cobb County,0.223
1/1/2014,Coffee County,0.305
1/1/2015,Coffee County,0.322
1/1/2014,Colquitt County,0.326
1/1/2015,Colquitt County,0.321
1/1/2014,Columbia County,0.264
1/1/2015,Columbia County,0.262
1/1/2014,Cook County,0.317
1/1/2015,Cook County,0.293
1/1/2014,Coweta County,0.296
1/1/2015,Coweta County,0.28
1/1/2014,Crawford County,0.307
1/1/2015,Crawford County,0.31
1/1/2014,Crisp County,0.338
1/1/2015,Crisp County,0.331
1/1/2014,Dade County,0.309
1/1/2015,Dade County,0.31
1/1/2014,Dawson County,0.275
1/1/2015,Dawson County,0.283
1/1/2014,DeKalb County,0.255
1/1/2015,DeKalb County,0.264
1/1/2014,Decatur County,0.317
1/1/2015,Decatur County,0.331
1/1/2014,Dodge County,0.358
1/1/2015,Dodge County,0.323
1/1/2014,Dooly County,0.317
1/1/2015,Dooly County,0.334
1/1/2014,Dougherty County,0.381
1/1/2015,Dougherty County,0.368
1/1/2014,Douglas County,0.346
1/1/2015,Douglas County,0.333
1/1/2014,Early County,0.305
1/1/2015,Early County,0.298
1/1/2014,Echols County,0.283
1/1/2015,Echols County,0.29
1/1/2014,Effingham County,0.31
1/1/2015,Effingham County,0.33
1/1/2014,Elbert County,0.355
1/1/2015,Elbert County,0.338
1/1/2014,Emanuel County,0.3
1/1/2015,Emanuel County,0.318
1/1/2014,Evans County,0.348
1/1/2015,Evans County,0.354
1/1/2014,Fannin County,0.29
1/1/2015,Fannin County,0.279
1/1/2014,Fayette County,0.25
1/1/2015,Fayette County,0.271
1/1/2014,Floyd County,0.274
1/1/2015,Floyd County,0.28
1/1/2014,Forsyth County,0.219
1/1/2015,Forsyth County,0.249
1/1/2014,Franklin County,0.265
1/1/2015,Franklin County,0.261
1/1/2014,Fulton County,0.229
1/1/2015,Fulton County,0.218
1/1/2014,Gilmer County,0.291
1/1/2015,Gilmer County,0.289
1/1/2014,Glascock County,0.286
1/1/2015,Glascock County,0.301
1/1/2014,Glynn County,0.282
1/1/2015,Glynn County,0.278
1/1/2014,Gordon County,0.285
1/1/2015,Gordon County,0.285
1/1/2014,Grady County,0.323
1/1/2015,Grady County,0.327
1/1/2014,Greene County,0.319
1/1/2015,Greene County,0.299
1/1/2014,Gwinnett County,0.253
1/1/2015,Gwinnett County,0.271
1/1/2014,Habersham County,0.276
1/1/2015,Habersham County,0.289
1/1/2014,Hall County,0.29
1/1/2015,Hall County,0.261
1/1/2014,Hancock County,0.387
1/1/2015,Hancock County,0.37
1/1/2014,Haralson County,0.316
1/1/2015,Haralson County,0.291
1/1/2014,Harris County,0.282
1/1/2015,Harris County,0.287
1/1/2014,Hart County,0.284
1/1/2015,Hart County,0.301
1/1/2014,Heard County,0.289
1/1/2015,Heard County,0.293
1/1/2014,Henry County,0.285
1/1/2015,Henry County,0.303
1/1/2014,Houston County,0.299
1/1/2015,Houston County,0.324
1/1/2014,Irwin County,0.31
1/1/2015,Irwin County,0.309
1/1/2014,Jackson County,0.264
1/1/2015,Jackson County,0.285
1/1/2014,Jasper County,0.298
1/1/2015,Jasper County,0.294
1/1/2014,Jeff Davis County,0.285
1/1/2015,Jeff Davis County,0.284
1/1/2014,Jefferson County,0.378
1/1/2015,Jefferson County,0.381
1/1/2014,Jenkins County,0.319
1/1/2015,Jenkins County,0.317
1/1/2014,Johnson County,0.325
1/1/2015,Johnson County,0.317
1/1/2014,Jones County,0.31
1/1/2015,Jones County,0.317
1/1/2014,Lamar County,0.332
1/1/2015,Lamar County,0.343
1/1/2014,Lanier County,0.292
1/1/2015,Lanier County,0.318
1/1/2014,Laurens County,0.352
1/1/2015,Laurens County,0.349
1/1/2014,Lee County,0.308
1/1/2015,Lee County,0.318
1/1/2014,Liberty County,0.331
1/1/2015,Liberty County,0.32
1/1/2014,Lincoln County,0.354
1/1/2015,Lincoln County,0.334
1/1/2014,Long County,0.305
1/1/2015,Long County,0.293
1/1/2014,Lowndes County,0.313
1/1/2015,Lowndes County,0.293
1/1/2014,Lumpkin County,0.288
1/1/2015,Lumpkin County,0.293
1/1/2014,Macon County,0.342
1/1/2015,Macon County,0.338
1/1/2014,Madison County,0.317
1/1/2015,Madison County,0.309
1/1/2014,Marion County,0.319
1/1/2015,Marion County,0.327
1/1/2014,McDuffie County,0.325
1/1/2015,McDuffie County,0.348
1/1/2014,McIntosh County,0.315
1/1/2015,McIntosh County,0.311
1/1/2014,Meriwether County,0.323
1/1/2015,Meriwether County,0.328
1/1/2014,Miller County,0.316
1/1/2015,Miller County,0.316
1/1/2014,Mitchell County,0.313
1/1/2015,Mitchell County,0.317
1/1/2014,Monroe County,0.326
1/1/2015,Monroe County,0.343
1/1/2014,Montgomery County,0.327
1/1/2015,Montgomery County,0.362
1/1/2014,Morgan County,0.315
1/1/2015,Morgan County,0.31
1/1/2014,Murray County,0.277
1/1/2015,Murray County,0.282
1/1/2014,Muscogee County,0.358
1/1/2015,Muscogee County,0.362
1/1/2014,Newton County,0.317
1/1/2015,Newton County,0.335
1/1/2014,Oconee County,0.267
1/1/2015,Oconee County,0.291
1/1/2014,Oglethorpe County,0.289
1/1/2015,Oglethorpe County,0.294
1/1/2014,Paulding County,0.256
1/1/2015,Paulding County,0.268
1/1/2014,Peach County,0.337
1/1/2015,Peach County,0.348
1/1/2014,Pickens County,0.259
1/1/2015,Pickens County,0.271
1/1/2014,Pierce County,0.306
1/1/2015,Pierce County,0.308
1/1/2014,Pike County,0.313
1/1/2015,Pike County,0.307
1/1/2014,Polk County,0.264
1/1/2015,Polk County,0.283
1/1/2014,Pulaski County,0.307
1/1/2015,Pulaski County,0.319
1/1/2014,Putnam County,0.323
1/1/2015,Putnam County,0.317
1/1/2014,Quitman County,0.312
1/1/2015,Quitman County,0.312
1/1/2014,Rabun County,0.292
1/1/2015,Rabun County,0.305
1/1/2014,Randolph County,0.365
1/1/2015,Randolph County,0.365
1/1/2014,Richmond County,0.33
1/1/2015,Richmond County,0.332
1/1/2014,Rockdale County,0.331
1/1/2015,Rockdale County,0.327
1/1/2014,Schley County,0.29
1/1/2015,Schley County,0.296
1/1/2014,Screven County,0.338
1/1/2015,Screven County,0.341
1/1/2014,Seminole County,0.322
1/1/2015,Seminole County,0.296
1/1/2014,Spalding County,0.34
1/1/2015,Spalding County,0.355
1/1/2014,Stephens County,0.317
1/1/2015,Stephens County,0.302
1/1/2014,Stewart County,0.346
1/1/2015,Stewart County,0.328
1/1/2014,Sumter County,0.372
1/1/2015,Sumter County,0.35
1/1/2014,Talbot County,0.348
1/1/2015,Talbot County,0.338
1/1/2014,Taliaferro County,0.352
1/1/2015,Taliaferro County,0.35
1/1/2014,Tattnall County,0.315
1/1/2015,Tattnall County,0.352
1/1/2014,Taylor County,0.33
1/1/2015,Taylor County,0.326
1/1/2014,Telfair County,0.306
1/1/2015,Telfair County,0.3
1/1/2014,Terrell County,0.386
1/1/2015,Terrell County,0.354
1/1/2014,Thomas County,0.326
1/1/2015,Thomas County,0.31
1/1/2014,Tift County,0.32
1/1/2015,Tift County,0.323
1/1/2014,Toombs County,0.336
1/1/2015,Toombs County,0.332
1/1/2014,Towns County,0.274
1/1/2015,Towns County,0.27
1/1/2014,Treutlen County,0.348
1/1/2015,Treutlen County,0.342
1/1/2014,Troup County,0.309
1/1/2015,Troup County,0.299
1/1/2014,Turner County,0.326
1/1/2015,Turner County,0.343
1/1/2014,Twiggs County,0.32
1/1/2015,Twiggs County,0.314
1/1/2014,Union County,0.266
1/1/2015,Union County,0.252
1/1/2014,Upson County,0.344
1/1/2015,Upson County,0.324
1/1/2014,Walker County,0.32
1/1/2015,Walker County,0.334
1/1/2014,Walton County,0.283
1/1/2015,Walton County,0.3
1/1/2014,Ware County,0.341
1/1/2015,Ware County,0.343
1/1/2014,Warren County,0.372
1/1/2015,Warren County,0.352
1/1/2014,Washington County,0.347
1/1/2015,Washington County,0.353
1/1/2014,Wayne County,0.334
1/1/2015,Wayne County,0.324
1/1/2014,Webster County,0.311
1/1/2015,Webster County,0.315
1/1/2014,Wheeler County,0.316
1/1/2015,Wheeler County,0.327
1/1/2014,White County,0.286
1/1/2015,White County,0.275
1/1/2014,Whitfield County,0.284
1/1/2015,Whitfield County,0.288
1/1/2014,Wilcox County,0.31
1/1/2015,Wilcox County,0.329
1/1/2014,Wilkes County,0.327
1/1/2015,Wilkes County,0.337
1/1/2014,Wilkinson County,0.321
1/1/2015,Wilkinson County,0.34
1/1/2014,Worth County,0.316
1/1/2015,Worth County,0.342
